level|title|block|title_block
1|GELDSPIEL||
3|GELDSPIEL|BT|SPIEL
3|GELDSPIEL|SN|Tradcution de JEU D'ARGENT
1|SCHEINWAFFE||
3|SCHEINWAFFE|BT|SPIEL
3|SCHEINWAFFE|SN|Traduction de ARME FACTICE
1|SPIEL||
3|SPIEL|UF|spielzeug
3|SPIEL|BT|THESAURUS
3|SPIEL|NT|GELDSPIEL
8|SPIEL|NT|SCHEINWAFFE
3|SPIEL|UFA|spielkonsole
3|SPIEL|SA|SCHEINWAFFE
1|spielzeug||
3|spielzeug|USE|SPIEL
1|TEST||
3|TEST|BT|THESAURUS
1|NEUE||
3|NEUE|BT|THESAURUS
1|THESAURUS||
3|THESAURUS|NT|SPIEL
8|THESAURUS|NT|TEST
8|THESAURUS|NT|NEUE
3|THESAURUS|SN|v. 19.01.2024
